reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
Hydrodechlorination of DCE over Fe-ZSM5,DCE + H2 → products,总反应,还原,"1,2-dichloroethane (DCE)",ethane (85.6%); ethene (12.3%),NA,NA,NA,NA,NA,NA,NA,350,°C,NA,NA,2.5 cm3/h liquid feed,cm3/h,Fe-ZSM5,modified zeolite,335,批次,temperature,NA,NA,Conversion 34% at 350°C; Si/Al=40; Fe by solid-phase ion exchange,Catalytic detoxification of C2-chlorohydrocarbons over iron-containing oxide and zeolite catalysts,Colloids and Surfaces A: Physicochem. Eng. Aspects 265 (2005) 171–177
DCE oxidation over Co3O4 catalyst,"1,2-DCE + O2 → CO2 + HCl + Cl2",总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,NA,NA,NA,NA,70,kJ/mol,275,°C,NA,NA,1000,ppm,Co3O4,cobalt oxide,19,批次,temperature,NA,好氧,"WHSV=35000 mL/g/h, GHSV=15000 h⁻¹, reaction rate=0.29 mmol/g/h at 275°C",Promotion of Cobalt Oxide Catalysts by Acid-Etching and Ruthenium Incorporation for Chlorinated VOC Oxidation,Ind. Eng. Chem. Res.
DCE oxidation over 1Ru/Co3O4 catalyst,"1,2-DCE + O2 → CO2 + HCl + Cl2",总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,NA,NA,NA,NA,92,kJ/mol,250,°C,NA,NA,1000,ppm,1Ru/Co3O4,Ru-promoted cobalt oxide,16,批次,temperature,NA,好氧,"WHSV=35000 mL/g/h, GHSV=15000 h⁻¹, reaction rate=0.36 mmol/g/h at 250°C, Ru content=1.0 wt%",Promotion of Cobalt Oxide Catalysts by Acid-Etching and Ruthenium Incorporation for Chlorinated VOC Oxidation,Ind. Eng. Chem. Res.
DCE oxidation over Co3O4-F catalyst,"1,2-DCE + O2 → CO2 + HCl + Cl2",总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,NA,NA,NA,NA,66,kJ/mol,275,°C,NA,NA,1000,ppm,Co3O4-F,HF-etched cobalt oxide,9,批次,temperature,NA,好氧,"WHSV=35000 mL/g/h, GHSV=15000 h⁻¹, reaction rate=0.18 mmol/g/h at 275°C, acid-etched with HF",Promotion of Cobalt Oxide Catalysts by Acid-Etching and Ruthenium Incorporation for Chlorinated VOC Oxidation,Ind. Eng. Chem. Res.
DCE oxidation over 0.5Ru/Co3O4-F catalyst,"1,2-DCE + O2 → CO2 + HCl + Cl2",总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,NA,NA,NA,NA,86,kJ/mol,250,°C,NA,NA,1000,ppm,0.5Ru/Co3O4-F,Ru-promoted HF-etched cobalt oxide,10,批次,temperature,NA,好氧,"WHSV=35000 mL/g/h, GHSV=15000 h⁻¹, reaction rate=0.28 mmol/g/h at 250°C, Ru content=0.5 wt%",Promotion of Cobalt Oxide Catalysts by Acid-Etching and Ruthenium Incorporation for Chlorinated VOC Oxidation,Ind. Eng. Chem. Res.
DCE oxidation over 0.75Ru/Co3O4-F catalyst,"1,2-DCE + O2 → CO2 + HCl + Cl2",总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,NA,NA,NA,NA,87,kJ/mol,250,°C,NA,NA,1000,ppm,0.75Ru/Co3O4-F,Ru-promoted HF-etched cobalt oxide,10,批次,temperature,NA,好氧,"WHSV=35000 mL/g/h, GHSV=15000 h⁻¹, reaction rate=0.25 mmol/g/h at 250°C, Ru content=0.6 wt%",Promotion of Cobalt Oxide Catalysts by Acid-Etching and Ruthenium Incorporation for Chlorinated VOC Oxidation,Ind. Eng. Chem. Res.
DCE oxidation over 1Ru/Co3O4-F catalyst,"1,2-DCE + O2 → CO2 + HCl + Cl2",总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,NA,NA,NA,NA,89,kJ/mol,250,°C,NA,NA,1000,ppm,1Ru/Co3O4-F,Ru-promoted HF-etched cobalt oxide,10,批次,temperature,NA,好氧,"WHSV=35000 mL/g/h, GHSV=15000 h⁻¹, reaction rate=0.36 mmol/g/h at 250°C, Ru content=0.9 wt%, stable for 120h at 300°C with 83% conversion",Promotion of Cobalt Oxide Catalysts by Acid-Etching and Ruthenium Incorporation for Chlorinated VOC Oxidation,Ind. Eng. Chem. Res.
DCE oxidation over R1 sample,C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,1.4,mol/s g⁻¹ MPa⁻¹ (x10⁻²),NA,NA,55.5,kJ/mol,150-500,°C,NA,NA,1000,ppm,Co3O4,bulk oxide,6,批次,temperature,NA,好氧,T50=340°C; T90=420°C; crystallite size=63 nm,"Oxidation of 1,2-dichloroethane over nanocube-shaped Co3O4 catalysts",Applied Catalysis B: Environmental
DCE oxidation over R2 sample,C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,4.5,mol/s g⁻¹ MPa⁻¹ (x10⁻²),NA,NA,58.4,kJ/mol,150-500,°C,NA,NA,1000,ppm,Co3O4,bulk oxide,15,批次,temperature,NA,好氧,T50=310°C; T90=390°C; crystallite size=43 nm,"Oxidation of 1,2-dichloroethane over nanocube-shaped Co3O4 catalysts",Applied Catalysis B: Environmental
DCE oxidation over S1 sample,C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,6.8,mol/s g⁻¹ MPa⁻¹ (x10⁻²),NA,NA,59.8,kJ/mol,150-500,°C,NA,NA,1000,ppm,Co3O4,bulk oxide,16,批次,temperature,NA,好氧,T50=305°C; T90=360°C; crystallite size=42 nm; nanosheet morphology,"Oxidation of 1,2-dichloroethane over nanocube-shaped Co3O4 catalysts",Applied Catalysis B: Environmental
DCE oxidation over S2 sample,C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,7.3,mol/s g⁻¹ MPa⁻¹ (x10⁻²),NA,NA,59.9,kJ/mol,150-500,°C,NA,NA,1000,ppm,Co3O4,bulk oxide,19,批次,temperature,NA,好氧,T50=315°C; T90=360°C; crystallite size=37 nm,"Oxidation of 1,2-dichloroethane over nanocube-shaped Co3O4 catalysts",Applied Catalysis B: Environmental
DCE oxidation over C1 sample,C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,7.6,mol/s g⁻¹ MPa⁻¹ (x10⁻²),NA,NA,58.1,kJ/mol,150-500,°C,NA,NA,1000,ppm,Co3O4,bulk oxide,33,批次,temperature,NA,好氧,T50=290°C; T90=340°C; crystallite size=23 nm; nanocube morphology; most active catalyst; 100% CO2 selectivity at 400°C; stable for 120h at 325°C,"Oxidation of 1,2-dichloroethane over nanocube-shaped Co3O4 catalysts",Applied Catalysis B: Environmental
DCE oxidation over C2 sample,C2H4Cl2 + O2 → CO2 + HCl + Cl2,总反应,氧化,"1,2-dichloroethane",CO2; HCl; Cl2,1,2.1,mol/s g⁻¹ MPa⁻¹ (x10⁻²),NA,NA,53.5,kJ/mol,150-500,°C,NA,NA,1000,ppm,Co3O4,bulk oxide,16,批次,temperature,NA,好氧,T50=305°C; T90=370°C; crystallite size=41 nm,"Oxidation of 1,2-dichloroethane over nanocube-shaped Co3O4 catalysts",Applied Catalysis B: Environmental
DCE oxidation over CeZ/IM-E catalyst,C2H4Cl2 + 2.5O2 → 2CO2 + 2HCl,总反应,氧化,"1,2-dichloroethane",CO2; CO; HCl; Cl2; vinyl chloride; methyl chloride,NA,NA,NA,NA,NA,NA,NA,195,°C,NA,NA,1000,ppm,H-ZSM5,zeolite,406,批次,catalyst synthesis method,NA,好氧,T50 temperature for 50% conversion; CeO2 loading 12.9 wt%; WHSV=635 g·h·mol⁻¹,"Influence of the synthesis route on the catalytic oxidation of 1,2-dichloroethane over CeO2/H-ZSM5 catalysts",Applied Catalysis A: General
DCE oxidation over CeZ/IM-W catalyst,C2H4Cl2 + 2.5O2 → 2CO2 + 2HCl,总反应,氧化,"1,2-dichloroethane",CO2; CO; HCl; Cl2; vinyl chloride; methyl chloride,NA,NA,NA,NA,NA,NA,NA,215,°C,NA,NA,1000,ppm,H-ZSM5,zeolite,422,批次,catalyst synthesis method,NA,好氧,T50 temperature for 50% conversion; CeO2 loading 10.8 wt%; WHSV=635 g·h·mol⁻¹,"Influence of the synthesis route on the catalytic oxidation of 1,2-dichloroethane over CeO2/H-ZSM5 catalysts",Applied Catalysis A: General
DCE oxidation over CeZ/PP catalyst,C2H4Cl2 + 2.5O2 → 2CO2 + 2HCl,总反应,氧化,"1,2-dichloroethane",CO2; CO; HCl; Cl2; vinyl chloride; methyl chloride,NA,NA,NA,NA,NA,NA,NA,225,°C,NA,NA,1000,ppm,H-ZSM5,zeolite,396,批次,catalyst synthesis method,NA,好氧,T50 temperature for 50% conversion; CeO2 loading 13.4 wt%; WHSV=635 g·h·mol⁻¹,"Influence of the synthesis route on the catalytic oxidation of 1,2-dichloroethane over CeO2/H-ZSM5 catalysts",Applied Catalysis A: General
DCE oxidation over CeZ/IE catalyst,C2H4Cl2 + 2.5O2 → 2CO2 + 2HCl,总反应,氧化,"1,2-dichloroethane",CO2; CO; HCl; Cl2; vinyl chloride; methyl chloride,NA,NA,NA,NA,NA,NA,NA,245,°C,NA,NA,1000,ppm,H-ZSM5,zeolite,459,批次,catalyst synthesis method,NA,好氧,T50 temperature for 50% conversion; CeO2 loading 3.1 wt%; WHSV=635 g·h·mol⁻¹,"Influence of the synthesis route on the catalytic oxidation of 1,2-dichloroethane over CeO2/H-ZSM5 catalysts",Applied Catalysis A: General
DCE oxidation over H-ZSM5,C2H4Cl2 + 2.5O2 → 2CO2 + 2HCl,总反应,氧化,"1,2-dichloroethane",CO2; CO; HCl; Cl2; vinyl chloride; methyl chloride,NA,NA,NA,NA,NA,NA,NA,255,°C,NA,NA,1000,ppm,H-ZSM5,zeolite,464,批次,NA,NA,好氧,T50 temperature for 50% conversion; bare zeolite support; WHSV=635 g·h·mol⁻¹,"Influence of the synthesis route on the catalytic oxidation of 1,2-dichloroethane over CeO2/H-ZSM5 catalysts",Applied Catalysis A: General
DCE oxidation over CeO2,C2H4Cl2 + 2.5O2 → 2CO2 + 2HCl,总反应,氧化,"1,2-dichloroethane",CO2; CO; HCl; Cl2; vinyl chloride; methyl chloride,NA,NA,NA,NA,NA,NA,NA,320,°C,NA,NA,1000,ppm,NA,bulk CeO2,99,批次,NA,NA,好氧,T50 temperature for 50% conversion; pure ceria; WHSV=635 g·h·mol⁻¹,"Influence of the synthesis route on the catalytic oxidation of 1,2-dichloroethane over CeO2/H-ZSM5 catalysts",Applied Catalysis A: General
DCE oxidation over Nb2O5,C2H4Cl2 + O2 → CO2 + HCl + H2O,总反应,氧化,"1,2-dichloroethane",CO2; HCl; trace C2H3Cl,NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,NA,1000,ppmv,Nb2O5,metal oxide,44.3,批次,temperature,NA,好氧,GHSV=15000 h⁻¹; SHCl=99.7%,"Elimination of 1,2-dichloroethane over (Ce,Cr)xO2/Nb2O5 catalysts: synergistic performance between oxidizing ability and acidity",Chinese Journal of Catalysis
"DCE oxidation over (Ce,Cr)xO2",C2H4Cl2 + O2 → CO2 + HCl + H2O,总反应,氧化,"1,2-dichloroethane",CO2; HCl; trace C2H3Cl,NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,NA,1000,ppmv,"(Ce,Cr)xO2",mixed oxide,99,批次,temperature,NA,好氧,GHSV=15000 h⁻¹; SHCl=74.9%; Ce/Cr molar ratio=4:1,"Elimination of 1,2-dichloroethane over (Ce,Cr)xO2/Nb2O5 catalysts: synergistic performance between oxidizing ability and acidity",Chinese Journal of Catalysis
"DCE oxidation over 0.25(Ce,Cr)xO2/Nb2O5",C2H4Cl2 + O2 → CO2 + HCl + H2O,总反应,氧化,"1,2-dichloroethane",CO2; HCl; trace C2H3Cl,NA,NA,NA,NA,NA,NA,NA,150,°C,NA,NA,1000,ppmv,"0.25(Ce,Cr)xO2/Nb2O5",mixed oxide,46,批次,temperature,NA,好氧,"GHSV=15000 h⁻¹; SHCl=96.2%; TOF=4.3×10⁻⁷ molDCE·m⁻²·h⁻¹ at 150°C; mass ratio (Ce,Cr)xO2:Nb2O5=0.25","Elimination of 1,2-dichloroethane over (Ce,Cr)xO2/Nb2O5 catalysts: synergistic performance between oxidizing ability and acidity",Chinese Journal of Catalysis
"DCE oxidation over 0.5(Ce,Cr)xO2/Nb2O5",C2H4Cl2 + O2 → CO2 + HCl + H2O,总反应,氧化,"1,2-dichloroethane",CO2; HCl; trace C2H3Cl,NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,NA,1000,ppmv,"0.5(Ce,Cr)xO2/Nb2O5",mixed oxide,51.9,批次,temperature,NA,好氧,"GHSV=15000 h⁻¹; SHCl=92.1%; mass ratio (Ce,Cr)xO2:Nb2O5=0.5","Elimination of 1,2-dichloroethane over (Ce,Cr)xO2/Nb2O5 catalysts: synergistic performance between oxidizing ability and acidity",Chinese Journal of Catalysis
"DCE oxidation over (Ce,Cr)xO2/Nb2O5",C2H4Cl2 + O2 → CO2 + HCl + H2O,总反应,氧化,"1,2-dichloroethane",CO2; HCl; trace C2H3Cl,NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,NA,1000,ppmv,"(Ce,Cr)xO2/Nb2O5",mixed oxide,60.9,批次,temperature,NA,好氧,"GHSV=15000 h⁻¹; SHCl=90.5%; mass ratio (Ce,Cr)xO2:Nb2O5=1","Elimination of 1,2-dichloroethane over (Ce,Cr)xO2/Nb2O5 catalysts: synergistic performance between oxidizing ability and acidity",Chinese Journal of Catalysis
Hydrodechlorination of DCE over Pt-DD at 200°C,C2H4Cl2 + H2 → C2H6 + C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H6 (81.5%); C2H5Cl (18.5%),NA,0.02,s⁻¹,NA,NA,16.1,kcal/mol,200,°C,NA,NA,1.6,%,NA,Pt/SiO2,0.755,批次,温度,NA,NA,TOF based on Pt sites; GHSV=14900 h⁻¹,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt-DD at 225°C,C2H4Cl2 + H2 → C2H6 + C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H6 (85.5%); C2H5Cl (14.5%),NA,0.05,s⁻¹,NA,NA,16.1,kcal/mol,225,°C,NA,NA,1.6,%,NA,Pt/SiO2,0.755,批次,温度,NA,NA,TOF based on Pt sites,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt-DD at 250°C,C2H4Cl2 + H2 → C2H6 + C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H6 (89.9%); C2H5Cl (10.1%),NA,0.1,s⁻¹,NA,NA,16.1,kcal/mol,250,°C,NA,NA,1.6,%,NA,Pt/SiO2,0.755,批次,温度,NA,NA,TOF based on Pt sites,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt-DD at 275°C,C2H4Cl2 + H2 → C2H6 + C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H6 (95.0%); C2H5Cl (5.0%),NA,0.19,s⁻¹,NA,NA,16.1,kcal/mol,275,°C,NA,NA,1.6,%,NA,Pt/SiO2,0.755,批次,温度,NA,NA,TOF based on Pt sites,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt50Cu50-DD at 200°C,C2H4Cl2 + H2 → C2H6 + C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H6 (86.9%); C2H5Cl (13.1%),NA,0.02,s⁻¹,NA,NA,16,kcal/mol,200,°C,NA,NA,1.6,%,NA,Pt50Cu50/SiO2,0.354,批次,温度,NA,NA,2% Pt + 0.65% Cu; TOF based on Pt sites,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt50Cu50-DD at 225°C,C2H4Cl2 + H2 → C2H6 + C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H6 (89.7%); C2H5Cl (10.3%),NA,0.04,s⁻¹,NA,NA,16,kcal/mol,225,°C,NA,NA,1.6,%,NA,Pt50Cu50/SiO2,0.354,批次,温度,NA,NA,2% Pt + 0.65% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt50Cu50-DD at 250°C,C2H4Cl2 + H2 → C2H6 + C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H6 (91.7%); C2H5Cl (8.3%),NA,0.09,s⁻¹,NA,NA,16,kcal/mol,250,°C,NA,NA,1.6,%,NA,Pt50Cu50/SiO2,0.354,批次,温度,NA,NA,2% Pt + 0.65% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt50Cu50-DD at 275°C,C2H4Cl2 + H2 → C2H6 + C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H6 (93.4%); C2H5Cl (6.6%),NA,0.17,s⁻¹,NA,NA,16,kcal/mol,275,°C,NA,NA,1.6,%,NA,Pt50Cu50/SiO2,0.354,批次,温度,NA,NA,2% Pt + 0.65% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt25Cu75-DD at 200°C,C2H4Cl2 + H2 → C2H6 + C2H4,总反应,还原,"1,2-dichloroethane",C2H6 (74.9%); C2H4 (25.1%),NA,1.02,s⁻¹,NA,NA,9.3,kcal/mol,200,°C,NA,NA,1.6,%,NA,Pt25Cu75/SiO2,0.0028,批次,温度,NA,NA,2% Pt + 1.95% Cu; TOF based on Pt sites,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt25Cu75-DD at 225°C,C2H4Cl2 + H2 → C2H6 + C2H4,总反应,还原,"1,2-dichloroethane",C2H6 (57.4%); C2H4 (42.6%),NA,2.71,s⁻¹,NA,NA,9.3,kcal/mol,225,°C,NA,NA,1.6,%,NA,Pt25Cu75/SiO2,0.0028,批次,温度,NA,NA,2% Pt + 1.95% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt25Cu75-DD at 250°C,C2H4Cl2 + H2 → C2H6 + C2H4,总反应,还原,"1,2-dichloroethane",C2H6 (40.7%); C2H4 (59.3%),NA,6.09,s⁻¹,NA,NA,9.3,kcal/mol,250,°C,NA,NA,1.6,%,NA,Pt25Cu75/SiO2,0.0028,批次,温度,NA,NA,2% Pt + 1.95% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Pt25Cu75-DD at 275°C,C2H4Cl2 + H2 → C2H6 + C2H4,总反应,还原,"1,2-dichloroethane",C2H6 (29.4%); C2H4 (70.6%),NA,12.36,s⁻¹,NA,NA,9.3,kcal/mol,275,°C,NA,NA,1.6,%,NA,Pt25Cu75/SiO2,0.0028,批次,温度,NA,NA,2% Pt + 1.95% Cu; stable for 30h TOS,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Cu-DD at 275°C,C2H4Cl2 + H2 → C2H6 + C2H4,总反应,还原,"1,2-dichloroethane",C2H6 (33.0%); C2H4 (67.0%),NA,NA,NA,NA,NA,8.6,kcal/mol,275,°C,NA,NA,1.6,%,NA,Cu/SiO2,NA,批次,温度,NA,NA,1% Cu; slow deactivation observed,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Cu-DD at 300°C,C2H4Cl2 + H2 → C2H6 + C2H4,总反应,还原,"1,2-dichloroethane",C2H6 (24.8%); C2H4 (75.2%),NA,NA,NA,NA,NA,8.6,kcal/mol,300,°C,NA,NA,1.6,%,NA,Cu/SiO2,NA,批次,温度,NA,NA,1% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Hydrodechlorination of DCE over Cu-DD at 325°C,C2H4Cl2 + H2 → C2H6 + C2H4,总反应,还原,"1,2-dichloroethane",C2H6 (16.2%); C2H4 (83.8%),NA,NA,NA,NA,NA,8.6,kcal/mol,325,°C,NA,NA,1.6,%,NA,Cu/SiO2,NA,批次,温度,NA,NA,1% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Formation of C2H6 from DCE over Pt-DD,C2H4Cl2 + H2 → C2H6,总反应,还原,"1,2-dichloroethane",C2H6,NA,NA,NA,NA,NA,16.1,kcal/mol,200-275,°C,NA,NA,1.6,%,NA,Pt/SiO2,0.755,批次,温度,NA,NA,Apparent activation energy,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Formation of C2H5Cl from DCE over Pt-DD,C2H4Cl2 + H2 → C2H5Cl,总反应,还原,"1,2-dichloroethane",C2H5Cl,NA,NA,NA,NA,NA,9.3,kcal/mol,200-275,°C,NA,NA,1.6,%,NA,Pt/SiO2,0.755,批次,温度,NA,NA,Apparent activation energy,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Formation of C2H4 from DCE over Pt25Cu75-DD,C2H4Cl2 + H2 → C2H4,总反应,还原,"1,2-dichloroethane",C2H4,NA,NA,NA,NA,NA,22,kcal/mol,200-275,°C,NA,NA,1.6,%,NA,Pt25Cu75/SiO2,0.0028,批次,温度,NA,NA,Apparent activation energy; 2% Pt + 1.95% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
Formation of C2H4 from DCE over Cu-DD,C2H4Cl2 + H2 → C2H4,总反应,还原,"1,2-dichloroethane",C2H4,NA,NA,NA,NA,NA,22.8,kcal/mol,275-325,°C,NA,NA,1.6,%,NA,Cu/SiO2,NA,批次,温度,NA,NA,Apparent activation energy; 1% Cu,"Hydrodechlorination of 1,2-dichloroethane catalyzed by dendrimer-derived Pt-Cu/SiO2 catalysts",Journal of Catalysis
"Anaerobic transformation of 1,2-dichloroethane by M. thermoautotrophicum during autotrophic growth",CH2Cl-CH2Cl → CH2=CH2,总反应,还原,"1,2-dichloroethane",ethene (7% yield after 8 days: 70 nmol),NA,NA,NA,NA,NA,NA,NA,63,°C,NA,NA,~20,μM,NA,NA,NA,批次,NA,NA,厌氧,"1000 nmol/culture initial; product formed: 0 (1d), 30 (4d), 70 (8d) nmol","ANAEROBIC DECHLORINATION OF TETRACHLOROMETHANE AND 1,2-DICHLOROETHANE TO DEGRADABLE PRODUCTS BY PURE CULTURES OF DESULFOBACTERIUM SP AND METHANOBACTERIUM SP",FEMS Microbiology Letters
"Biodegradation of 1,2-dichloroethane by immobilized Xanthobacter autotrophicus GJ 10 in tube reactor","1,2-dichloroethane → 2-chloroethanol + Cl⁻ (step 1); 2-chloroacetate → glycolic acid + Cl⁻ (final step)",总反应,生物降解,"1,2-dichloroethane",Cl⁻ ions; glycolic acid,NA,NA,NA,NA,NA,NA,NA,20-22,°C,6.3-6.8,initial,0.5-10,mg/L,NA,NA,NA,批次,flow rate; cell density; pH; temperature,NA,好氧,Semicontinuous flow system; specific activity 2.1 U/g dry cells; immobilized activity 89 mU/g wet beads; flow rate 1.2 mL/min; dead time 15 min; steady state 35 min; kinetic measurement faster (30%) than steady state,"Semicontinuous detection of 1,2-dichloroethane in water samples using Xanthobacter autotrophicus GJ 10 encapsulated in chitosan beads",Analytical Chemistry
"Desulfitobacterium sp. strain AusDCA respiring 1,2-DCA to ethene with ethanol or H2 as electron donor","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,NA,NA,NA,d,NA,NA,30,°C,7.2,buffered,2.5,mM,NA,NA,NA,批次,NA,NA,厌氧,Doubling time: 2 days; bicarbonate buffered minimal salts medium,"Isolation, characterization and bioaugmentation of an acidotolerant 1,2-dichloroethane respiring Desulfitobacterium species from a low pH aquifer",FEMS Microbiology Ecology
"Desulfitobacterium sp. strain AusDCA respiring 1,2-DCA to ethene at pH 5.0","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,NA,NA,NA,NA,NA,NA,30,°C,5,buffered,256,µmol per 160 mL bottle,NA,NA,NA,批次,pH,NA,厌氧,MES buffered medium; incomplete dehalogenation (87%) after 76 days,"Isolation, characterization and bioaugmentation of an acidotolerant 1,2-dichloroethane respiring Desulfitobacterium species from a low pH aquifer",FEMS Microbiology Ecology
"Desulfitobacterium sp. strain AusDCA respiring 1,2-DCA to ethene at pH 5.5","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,NA,NA,NA,NA,NA,NA,30,°C,5.5,buffered,263,µmol per 160 mL bottle,NA,NA,NA,批次,pH,NA,厌氧,MES buffered medium; near complete dehalogenation (98%) after 76 days,"Isolation, characterization and bioaugmentation of an acidotolerant 1,2-dichloroethane respiring Desulfitobacterium species from a low pH aquifer",FEMS Microbiology Ecology
"Desulfitobacterium sp. strain AusDCA respiring 1,2-DCA to ethene at pH 6.0-7.5","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,NA,NA,NA,NA,NA,NA,NA,30,°C,6.0-7.5,buffered,NA,NA,NA,NA,NA,批次,pH,NA,厌氧,Optimal pH range 6.5-7.5; MES or bicarbonate buffered,"Isolation, characterization and bioaugmentation of an acidotolerant 1,2-dichloroethane respiring Desulfitobacterium species from a low pH aquifer",FEMS Microbiology Ecology
