reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
"CT biotransformation with 1,2-propanediol",CT → CF + other products,总反应,还原,CT,CF; DCM,1,0.176,day⁻¹,NA,NA,NA,NA,29,°C,7,buffered,106,μM,NA,NA,NA,批次,primary substrate,NA,厌氧,2.9-fold increase vs VFA,,Biodegradation
CT biotransformation with glycerol,CT → CF + other products,总反应,还原,CT,CF; DCM,1,0.148,day⁻¹,NA,NA,NA,NA,29,°C,7,buffered,106,μM,NA,NA,NA,批次,primary substrate,NA,厌氧,2.5-fold increase vs VFA,,Biodegradation
CT biotransformation with polyethylene glycol (PEG),CT → CF + other products,总反应,还原,CT,CF; DCM,1,0.051,day⁻¹,NA,NA,NA,NA,29,°C,7,buffered,106,μM,NA,NA,NA,批次,primary substrate,NA,厌氧,NA,,Biodegradation
"CT biotransformation with VFA, no PB",CT → CF + other products,总反应,还原,CT,CF,1,NA,NA,NA,NA,NA,NA,24,°C,7,buffered,100,μM,NA,NA,NA,批次,primary substrate,NA,厌氧,CT = 98.26 μM on day 8,,Biodegradation
CT biotransformation with VFA and PB (160 μM),CT → CF + other products,总反应,还原,CT,CF,1,NA,NA,NA,NA,NA,NA,24,°C,7,buffered,100,μM,NA,NA,NA,批次,porphobilinogen; primary substrate,NA,厌氧,"CT = 95.10 μM on day 8, no significant effect",,Biodegradation
CT biotransformation with VFA and CNB12 (10 μM),CT → CF + other products,总反应,还原,CT,CF,1,NA,NA,NA,NA,NA,NA,24,°C,7,buffered,100,μM,NA,NA,NA,批次,vitamin B12; primary substrate,NA,厌氧,CT = 25.72 μM on day 8,,Biodegradation
"CT biotransformation with methanol, no PB",CT → CF + other products,总反应,还原,CT,CF,1,NA,NA,NA,NA,NA,NA,24,°C,7,buffered,100,μM,NA,NA,NA,批次,primary substrate,NA,厌氧,CT = 100.21 μM on day 8,,Biodegradation
CT biotransformation with methanol and PB (160 μM),CT → CF + other products,总反应,还原,CT,CF,1,NA,NA,NA,NA,NA,NA,24,°C,7,buffered,100,μM,NA,NA,NA,批次,porphobilinogen; primary substrate,NA,厌氧,"CT = 55.20 μM on day 8, significant effect with methanol",,Biodegradation
CT biotransformation with methanol and CNB12 (10 μM),CT → CF + other products,总反应,还原,CT,CF,1,NA,NA,NA,NA,NA,NA,24,°C,7,buffered,100,μM,NA,NA,NA,批次,vitamin B12; primary substrate,NA,厌氧,CT = 39.92 μM on day 8,,Biodegradation
CT biodegradation in upflow solid-phase denitrification biofilm reactor with PBS as carbon source,CT → dechlorinated products,总反应,生物降解+还原,Carbon tetrachloride (CT),Dechlorinated products,NA,NA,NA,NA,NA,NA,NA,25-28,°C,7.5,initial,5; 50,mg/L,NA,NA,NA,批次,CT concentration; nitrate concentration,NA,厌氧,"HRT=8h; MLSS=3.0 g/L; 85.1% CT removed in first 10 cm; Stage II (days 30-50, 5 mg/L CT), Stage III (days 51-80, 50 mg/L CT)",Biodegradation of carbon tetrachloride from groundwater in an upflow solid-phase biofilm system,RSC Advances
CT reduction by Fe(OH)₂ in ultrapure water,CCl₄ + e⁻ → products,NA,还原,CCl₄,CF; DCM,1,0.0384,min⁻¹,NA,NA,NA,NA,30,°C,7.49,initial,3.2,mg/L,hydroxide,NA,NA,批次,NA,NA,厌氧,OH⁻:Fe(II)=1.5:1; duplicate experiments,Coupling of Fe0 and Fe(OH)2 Enhances Carbon Tetrachloride Reduction,Environ. Sci. Technol.
CT reduction by Fe⁰ + Fe(OH)₂ in ultrapure water,CCl₄ + e⁻ → products,NA,还原,CCl₄,CF; DCM,1,0.0617,min⁻¹,NA,NA,NA,NA,30,°C,7.63,initial,3.2,mg/L,composite,NA,NA,批次,NA,NA,厌氧,Fe⁰ dosage 15 mg optimal; 60.7% higher than Fe(OH)₂ alone,,Environ. Sci. Technol.
CT reduction by Fe⁰ in ultrapure water,CCl₄ + e⁻ → products,NA,还原,CCl₄,CF; DCM,1,0.0163,min⁻¹,NA,NA,NA,NA,30,°C,7.8,initial,3.2,mg/L,zerovalent iron,NA,NA,批次,NA,NA,厌氧,NaOH + Fe⁰ system,,Environ. Sci. Technol.
CT reduction by Fe(OH)₂ in groundwater,CCl₄ + e⁻ → products,NA,还原,CCl₄,CF; DCM,1,NA,min⁻¹,NA,NA,NA,NA,30,°C,NA,NA,3.2,mg/L,hydroxide,NA,NA,批次,background ions,NA,厌氧,k decreased ~1 order of magnitude vs ultrapure water,,Environ. Sci. Technol.
CT reduction by Fe⁰ + Fe(OH)₂ in groundwater,CCl₄ + e⁻ → products,NA,还原,CCl₄,CF; DCM,1,NA,min⁻¹,NA,NA,NA,NA,30,°C,NA,NA,3.2,mg/L,composite,NA,NA,批次,background ions,NA,厌氧,Robustness under complex water chemistry confirmed,,Environ. Sci. Technol.
CT reduction by PS/MnO at pH 3,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.014,h⁻¹,NA,NA,NA,NA,25,°C,3,initial,40,mg/L,manganosite,0.4,m²/g,批次,pH,NA,NA,Final pH 5.2; D[PS]=850±10 mg/L,Persulfate reactivity enhanced by Fe2O3-MnO and CaO-Fe2O3-MnO composite: Identification of composite and degradation of CCl4 at various levels of pH,Chemical Engineering Journal
CT reduction by PS/Fe2O3-MnO at pH 3,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.036,h⁻¹,NA,NA,NA,NA,25,°C,3,initial,40,mg/L,maghemite-manganosite composite,56,m²/g,批次,pH,NA,NA,Final pH 3.5; D[PS]=930±9 mg/L; PZC=8.2,,Chemical Engineering Journal
CT reduction by PS/CaO-Fe2O3-MnO at pH 3,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.01,h⁻¹,NA,NA,NA,NA,25,°C,3,initial,40,mg/L,lime-maghemite-manganosite composite,102,m²/g,批次,pH,NA,NA,Final pH 3.8; D[PS]=620±10 mg/L; PZC=12.2,,Chemical Engineering Journal
CT reduction by PS/MnO at pH 7,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.012,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,40,mg/L,manganosite,0.4,m²/g,批次,pH,NA,NA,Final pH 7.2; D[PS]=690±9 mg/L,,Chemical Engineering Journal
CT reduction by PS/Fe2O3-MnO at pH 7,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.043,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,40,mg/L,maghemite-manganosite composite,56,m²/g,批次,pH,NA,NA,Final pH 7.4; D[PS]=850±10 mg/L; PZC=8.2,,Chemical Engineering Journal
CT reduction by PS/CaO-Fe2O3-MnO at pH 7,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.014,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,40,mg/L,lime-maghemite-manganosite composite,102,m²/g,批次,pH,NA,NA,Final pH 7.2; D[PS]=0 mg/L; PZC=12.2,,Chemical Engineering Journal
CT reduction by PS/MnO at pH 9,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.017,h⁻¹,NA,NA,NA,NA,25,°C,9,initial,40,mg/L,manganosite,0.4,m²/g,批次,pH,NA,NA,Final pH 7.7; D[PS]=550±5 mg/L,,Chemical Engineering Journal
CT reduction by PS/Fe2O3-MnO at pH 9,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.04,h⁻¹,NA,NA,NA,NA,25,°C,9,initial,40,mg/L,maghemite-manganosite composite,56,m²/g,批次,pH,NA,NA,Final pH 8.6; D[PS]=810±8 mg/L; PZC=8.2,,Chemical Engineering Journal
CT reduction by PS/CaO-Fe2O3-MnO at pH 9,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.04,h⁻¹,NA,NA,NA,NA,25,°C,9,initial,40,mg/L,lime-maghemite-manganosite composite,102,m²/g,批次,pH,NA,NA,Final pH 8.7; D[PS]=580±8 mg/L; PZC=12.2,,Chemical Engineering Journal
CT reduction by PS/MnO at pH 12,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.026,h⁻¹,NA,NA,NA,NA,25,°C,12,initial,40,mg/L,manganosite,0.4,m²/g,批次,pH,NA,NA,Final pH 11.5; D[PS]=480±9 mg/L,,Chemical Engineering Journal
CT reduction by PS/Fe2O3-MnO at pH 12,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.024,h⁻¹,NA,NA,NA,NA,25,°C,12,initial,40,mg/L,maghemite-manganosite composite,56,m²/g,批次,pH,NA,NA,Final pH 11.8; D[PS]=830±11 mg/L; PZC=8.2,,Chemical Engineering Journal
CT reduction by PS/CaO-Fe2O3-MnO at pH 12,CCl4 + e- → products,总反应,还原,CCl4,NA,1,0.031,h⁻¹,NA,NA,NA,NA,25,°C,12,initial,40,mg/L,lime-maghemite-manganosite composite,102,m²/g,批次,pH,NA,NA,Final pH 11.8; D[PS]=900±12 mg/L; PZC=12.2,,Chemical Engineering Journal
CCl4 reduction in pure DMF at glassy carbon electrode,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; solvent composition,NA,NA,Transfer coefficient α=0.353 at peak (scan 200 mV/s); E°=-1133 mV vs foc/fic+; λs=0.133 eV; glassy carbon electrode,Electrochemical reductive cleavage of carbon tetrachloride in aqueous-nonaqueous binary solvents,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 4% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.324 at peak; E°=-1072 mV vs foc/fic+; λs=-0.105 eV; glassy carbon electrode,,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 8% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.302 at peak; E°=-1050 mV vs foc/fic+; λs=-0.338 eV,,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 12% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.293 at peak; E°=-1002 mV vs foc/fic+; λs=-0.484 eV,,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 16% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.254 at peak; E°=-970 mV vs foc/fic+; λs=-0.766 eV,,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 20% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.223 at peak; E°=-920 mV vs foc/fic+; λs=-0.918 eV,,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 24% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.209 at peak; E°=-880 mV vs foc/fic+; λs=-0.799 eV,,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 28% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.213 at peak; E°=-825 mV vs foc/fic+; λs=-0.767 eV,,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 32% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.200 at peak; E°=-820 mV vs foc/fic+; λs=-0.815 eV,,Journal of Electroanalytical Chemistry
CCl4 reduction in DMF + 36% water,CCl4 + e- → CCl3• + Cl-,第1步,还原,CCl4,CCl3• + Cl-,1,varies with potential,cm/s,NA,NA,NA,NA,25,°C,NA,NA,2.3,mM,NA,NA,NA,批次,potential; water content,NA,NA,Transfer coefficient α=0.208 at peak; E°=-792 mV vs foc/fic+; λs=-0.752 eV,,Journal of Electroanalytical Chemistry
CHCl3 adsorption on AC from waste rubber tires,NA,总反应,吸附,CHCl3,NA,1,1.61,10^-2 min^-1,NA,NA,NA,NA,25,°C,NA,NA,2,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-first-order kinetics, contact time 60 min",DFT and Kinetic Evaluation of Chloromethane Removal Using Cost-Effective Activated Carbon,Arabian Journal for Science and Engineering
CHCl3 adsorption on AC from waste rubber tires,NA,总反应,吸附,CHCl3,NA,1,3.66,10^-2 min^-1,NA,NA,NA,NA,25,°C,NA,NA,1,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-first-order kinetics, contact time 60 min",,Arabian Journal for Science and Engineering
CHCl3 adsorption on AC from waste rubber tires,NA,总反应,吸附,CHCl3,NA,1,1.99,10^-2 min^-1,NA,NA,NA,NA,25,°C,NA,NA,0.5,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-first-order kinetics, contact time 60 min",,Arabian Journal for Science and Engineering
CHCl3 adsorption on AC from waste rubber tires,NA,总反应,吸附,CHCl3,NA,2,8.14,10^-2 g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,2,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second-order kinetics, qe=3.72 mg/g",,Arabian Journal for Science and Engineering
CHCl3 adsorption on AC from waste rubber tires,NA,总反应,吸附,CHCl3,NA,2,16.44,10^-2 g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,1,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second-order kinetics, qe=1.91 mg/g",,Arabian Journal for Science and Engineering
CHCl3 adsorption on AC from waste rubber tires,NA,总反应,吸附,CHCl3,NA,2,96.36,10^-2 g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,0.5,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second-order kinetics, qe=0.80 mg/g",,Arabian Journal for Science and Engineering
CCl4 adsorption on AC from waste rubber tires,NA,总反应,吸附,CCl4,NA,1,1.29,10^-2 min^-1,NA,NA,NA,NA,25,°C,NA,NA,2,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-first-order kinetics, contact time 60 min",,Arabian Journal for Science and Engineering
CCl4 adsorption on AC from waste rubber tires,NA,总反应,吸附,CCl4,NA,1,3.06,10^-2 min^-1,NA,NA,NA,NA,25,°C,NA,NA,1,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-first-order kinetics, contact time 60 min",,Arabian Journal for Science and Engineering
CCl4 adsorption on AC from waste rubber tires,NA,总反应,吸附,CCl4,NA,1,2.23,10^-2 min^-1,NA,NA,NA,NA,25,°C,NA,NA,0.5,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-first-order kinetics, contact time 60 min",,Arabian Journal for Science and Engineering
CCl4 adsorption on AC from waste rubber tires,NA,总反应,吸附,CCl4,NA,2,53.68,10^-2 g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,2,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second-order kinetics, qe=3.34 mg/g",,Arabian Journal for Science and Engineering
CCl4 adsorption on AC from waste rubber tires,NA,总反应,吸附,CCl4,NA,2,44.3,10^-2 g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,1,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second-order kinetics, qe=1.72 mg/g",,Arabian Journal for Science and Engineering
CCl4 adsorption on AC from waste rubber tires,NA,总反应,吸附,CCl4,NA,2,45.28,10^-2 g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,0.5,mg/L,Activated carbon from waste rubber tires,62.35,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second-order kinetics, qe=0.72 mg/g",,Arabian Journal for Science and Engineering
CT reduction in iron reactor at -755 mV,CT → methane (>95%),总反应,还原,CT,methane (>95%); chloroform + methylene chloride (<2%),1,5.6E-3,L·m⁻²·h⁻¹,3.7,min,NA,NA,25,°C,7,initial,0.12,mM,"porous iron (95% Fe, 5% aluminosilicate)",4.5,m²/g,批次,electrode potential,NA,厌氧,ksa normalized to electrode surface area; cathode potential -755 mV,Reductive dechlorination of trichloroethene and carbon tetrachloride using iron and palladized iron cathode.,Environ. Sci. Technol.
CT reduction in Pd-iron reactor at -755 mV,CT → methane (>95%),总反应,还原,CT,methane (>95%),1,NA,NA,1.3,min,NA,NA,25,°C,7,initial,0.12,mM,porous iron with Pd catalyst,4.5,m²/g,批次,Pd catalyst,NA,厌氧,Pd loading 1 mg/m²; 3× faster than iron alone,,Environ. Sci. Technol.
"CT reduction in iron reactor, pH 4",CT → methane,总反应,还原,CT,methane,1,NA,NA,1.5,min,NA,NA,25,°C,4,initial,0.26,mM,porous iron,4.5,m²/g,批次,pH,NA,厌氧,Small pH effect on CT,,Environ. Sci. Technol.
"CT reduction in iron reactor, pH 7",CT → methane,总反应,还原,CT,methane,1,NA,NA,3.6,min,NA,NA,25,°C,7,initial,0.26,mM,porous iron,4.5,m²/g,批次,pH,NA,厌氧,Small pH effect on CT,,Environ. Sci. Technol.
"CT reduction in iron reactor, pH 10",CT → methane,总反应,还原,CT,methane,1,NA,NA,3,min,NA,NA,25,°C,10,initial,0.26,mM,porous iron,4.5,m²/g,批次,pH,NA,厌氧,Small pH effect on CT,,Environ. Sci. Technol.
"CT reduction in Pd-iron reactor, pH 4",CT → methane,总反应,还原,CT,methane,1,NA,NA,1.3,min,NA,NA,25,°C,4,initial,0.26,mM,porous iron with Pd,4.5,m²/g,批次,pH,NA,厌氧,Small pH effect on CT with Pd,,Environ. Sci. Technol.
"CT reduction in Pd-iron reactor, pH 7",CT → methane,总反应,还原,CT,methane,1,NA,NA,1.5,min,NA,NA,25,°C,7,initial,0.26,mM,porous iron with Pd,4.5,m²/g,批次,pH,NA,厌氧,Small pH effect on CT with Pd,,Environ. Sci. Technol.
"CT reduction in Pd-iron reactor, pH 10",CT → methane,总反应,还原,CT,methane,1,NA,NA,1.7,min,NA,NA,25,°C,10,initial,0.26,mM,porous iron with Pd,4.5,m²/g,批次,pH,NA,厌氧,Small pH effect on CT with Pd,,Environ. Sci. Technol.
"CT reduction in S(-II)-treated goethite, pH 8, EPPS buffer",CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,~0.15,h⁻¹,NA,NA,NA,NA,~20,°C,8,buffered,NA,NA,iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate extracted from Figure 2.2a at pH 8; surface area 81.1±1.1 m²/g from BET analysis,Transformation of carbon tetrachloride in iron- and sulfate-reducing environments,Chemosphere
"CT reduction in S(-II)-treated goethite, pH 6",CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,~0.05,h⁻¹,NA,NA,NA,NA,~20,°C,6,initial,NA,NA,iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate from Figure 2.2a at pH 6,,Chemosphere
"CT reduction in S(-II)-treated goethite, pH 7",CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,~0.10,h⁻¹,NA,NA,NA,NA,~20,°C,7,initial,NA,NA,iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate from Figure 2.2a at pH 7,,Chemosphere
"CT reduction in S(-II)-treated goethite, pH 9",CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,~0.12,h⁻¹,NA,NA,NA,NA,~20,°C,9,initial,NA,NA,iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate from Figure 2.2a at pH 9,,Chemosphere
"CT reduction in S(-II)-treated goethite, pH 10",CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,~0.08,h⁻¹,NA,NA,NA,NA,~20,°C,10,initial,NA,NA,iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate from Figure 2.2a at pH 10,,Chemosphere
CT reduction in Duck Pond iron-reducing microcosm,CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,NA,NA,NA,NA,NA,NA,~20,°C,NA,NA,NA,NA,NA,NA,NA,批次,NA,NA,厌氧,Ln(C/C0) vs time plot shown in Figure 3.3; iron-reducing conditions,,PhD Dissertation
"CT reduction in Landfill iron-reducing microcosm, sterilized",CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,NA,h⁻¹,NA,NA,NA,NA,~20,°C,NA,NA,0.94-1.44,mM,NA,NA,NA,批次,NA,NA,厌氧,Sterilized microcosm; abiotic reduction predominant; initial CT 0.94-1.44 mM,,PhD Dissertation
CT reduction in aged FeS model system,CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,NA,h⁻¹,NA,NA,NA,NA,~20,°C,8,buffered,NA,NA,iron sulfide,NA,NA,批次,aging time,NA,厌氧,Rate decreases with aging due to FeS→FeS2 transformation; Figure 3.6 shows rate vs aging time,,PhD Dissertation
"CT reduction in Duck Pond sulfate-reducing microcosm, 5-sequential spike",CCl4 + reductants → products,总反应,还原,CCl4,"CF, CS2, CO, formate",1,NA,h⁻¹,NA,NA,NA,NA,~20,°C,NA,NA,NA,NA,NA,NA,NA,批次,weakly bound Fe(II),NA,厌氧,Sequential CT spike experiment; rate correlated with weakly bound Fe(II); sulfate-reducing conditions,,PhD Dissertation
"CT hydrolysis in ultrapure water, ambient pH",CCl4 + H2O → products,总反应,水解,CCl4,NA,1,NA,NA,40.5,years,NA,NA,~20,°C,~7,initial,NA,NA,NA,NA,NA,批次,NA,NA,好氧,Aerobic hydrolysis; very slow; half-life from Jeffers et al. 1989 cited in text,,PhD Dissertation
CCl4 degradation by Zn dust in water,CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,total reaction,还原,CCl4,CH4 (14.5% at 120h),1,0.026,h⁻¹,NA,NA,NA,NA,room temperature,°C,6.10-6.20,initial,0.9-1.0,mM,NA,0.243,m²/g,批次,"metal type, surface area",NA,厌氧,"Zn dust, specific surface area 0.243 m²/g",Dechlorination of carbon tetrachloride in water on an activated zinc surface,Mendeleev Commun.
CCl4 degradation by cryo Zn in water,CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,total reaction,还原,CCl4,CH4 (27.3% at 120h),1,0.084,h⁻¹,NA,NA,NA,NA,room temperature,°C,6.10-6.20,initial,0.9-1.0,mM,NA,5.23,m²/g,批次,"metal type, surface area",NA,厌氧,"Cryo Zn, specific surface area 5.23 m²/g",,Mendeleev Commun.
CCl4 degradation by Zn pellets in water,CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,total reaction,还原,CCl4,CH4 (31.3% at 120h),1,0.015,h⁻¹,NA,NA,NA,NA,room temperature,°C,6.10-6.20,initial,0.9-1.0,mM,NA,NA,m²/g,批次,"metal type, surface area",NA,厌氧,Mechanically activated Zn pellets,,Mendeleev Commun.
CCl4 degradation by Zn dust (high dosage),CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,total reaction,还原,CCl4,CH4 (2.5% at 4h),1,0.538,h⁻¹,NA,NA,NA,NA,room temperature,°C,6.10-6.20,initial,0.9-1.0,mM,NA,0.243,m²/g,批次,catalyst dosage,NA,厌氧,Higher Zn dosage,,Mendeleev Commun.
CCl4 degradation by Zn/Pd bimetallic system,CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,total reaction,还原,CCl4,CH4 (12.0% at 4h),1,4.2,h⁻¹,NA,NA,NA,NA,room temperature,°C,6.10-6.20,initial,0.9-1.0,mM,NA,0.243,m²/g,批次,bimetallic enhancement,NA,厌氧,Pd doping enhances rate significantly,,Mendeleev Commun.
CCl4 degradation by Zn/Ag bimetallic system,CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,total reaction,还原,CCl4,CH4 (24.0% at 4h),1,2.5,h⁻¹,NA,NA,NA,NA,room temperature,°C,6.10-6.20,initial,0.9-1.0,mM,NA,0.243,m²/g,批次,bimetallic enhancement,NA,厌氧,Ag doping enhances rate and methane yield,,Mendeleev Commun.
"CT reduction at iron electrode, -785 mV",CCl4 + 2e- + H+ → CHCl3 + Cl-,Total reaction,还原,CCl4,CHCl3 (>90%); Cl- (~95% yield),1,1.2E-4,L·m⁻²·h⁻¹,NA,NA,47.8,kJ/mol,22,°C,6.5,initial,2,mM,Metal electrode,1,cm²,批次,electrode potential,NA,厌氧,"Rotating disk electrode, geometric surface area; transfer coefficient Rb=0.24±0.02 at 22°C",Electrochemical investigation of the rate limiting mechanisms for trichloroethylene and carbon tetrachloride reduction at iron surfaces.,Environ. Sci. Technol.
"CT reduction at iron electrode, -685 mV",CCl4 + 2e- + H+ → CHCl3 + Cl-,Total reaction,还原,CCl4,CHCl3; Cl-,1,4.0E-5,L·m⁻²·h⁻¹,NA,NA,NA,NA,22,°C,6.5,initial,2,mM,Metal electrode,1,cm²,批次,electrode potential,NA,厌氧,Rotating disk electrode,,Environ. Sci. Technol.
"CT reduction at iron electrode, -885 mV",CCl4 + 2e- + H+ → CHCl3 + Cl-,Total reaction,还原,CCl4,CHCl3; Cl-,1,2.5E-4,L·m⁻²·h⁻¹,NA,NA,NA,NA,22,°C,6.5,initial,2,mM,Metal electrode,1,cm²,批次,electrode potential,NA,厌氧,Rotating disk electrode,,Environ. Sci. Technol.
"CT reduction at iron electrode, -985 mV",CCl4 + 2e- + H+ → CHCl3 + Cl-,Total reaction,还原,CCl4,CHCl3; Cl-,1,5.0E-4,L·m⁻²·h⁻¹,NA,NA,NA,NA,22,°C,6.5,initial,2,mM,Metal electrode,1,cm²,批次,electrode potential,NA,厌氧,Rotating disk electrode,,Environ. Sci. Technol.
