反应描述,脱氯步骤,反应类型,反应物,产物,速率常数,速率常数_单位,表面反应速率常数,表面反应速率常数_单位,反应级数,半衰期,半衰期_单位,活化能,活化能_单位,温度,温度_单位,pH,氧化还原电位,氧化还原电位_单位,固相矿物类型,矿物比表面积,矿物比表面积_单位,初始浓度,初始浓度_单位,矿物名称,矿物化学式,溶度积,溶度积_单位,沉淀速率常数,沉淀速率常数_单位,溶解速率常数,溶解速率常数_单位,离子活度积,离子活度积_单位,过饱和度,实验体系,其他条件,参考文献
"CCl4 dechlorination by 3 mM Fe(II) without Cu(II) at pH 7.5 (Figure 6A, Table 2)",总反应,还原,CCl4,CHCl3,0.0209,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,7.5,NA,NA,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, HEPES buffer 50 mM",
"CCl4 dechlorination by 3 mM Fe(II) without Cu(II) at pH 8.5 (Figure 6A, Table 2)",总反应,还原,CCl4,CHCl3,0.0946,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,8.5,NA,NA,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, TRIS buffer 50 mM",
"CCl4 dechlorination by 3 mM Fe(II) with 0.5 mM Cu(II) at pH 4.3 (unbuffered) (Figure 6B, Table 2)",总反应,还原,CCl4,CHCl3,0.0057,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,4.3,180,mV,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, Cu(II) 0.5 mM, unbuffered",
"CCl4 dechlorination by 3 mM Fe(II) with 0.5 mM Cu(II) at pH 5.5 (Figure 6B, Table 2)",总反应,还原,CCl4,CHCl3,0.017,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,5.5,-20,mV,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, Cu(II) 0.5 mM, MES buffer 50 mM",
"CCl4 dechlorination by 3 mM Fe(II) with 0.5 mM Cu(II) at pH 6.0 (Figure 6B, Table 2)",总反应,还原,CCl4,CHCl3,0.0224,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,6,NA,NA,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, Cu(II) 0.5 mM, MES buffer 50 mM",
"CCl4 dechlorination by 3 mM Fe(II) with 0.5 mM Cu(II) at pH 6.5 (Figure 6B, Table 2)",总反应,还原,CCl4,CHCl3,0.0827,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,6.5,NA,NA,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, Cu(II) 0.5 mM, MES buffer 50 mM",
"CCl4 dechlorination by 3 mM Fe(II) with 0.5 mM Cu(II) at pH 7.0 (Figure 6B, Table 2)",总反应,还原,CCl4,CHCl3,0.252,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,7,NA,NA,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, Cu(II) 0.5 mM, HEPES buffer 50 mM",
"CCl4 dechlorination by 3 mM Fe(II) with 0.5 mM Cu(II) at pH 8.0 (Figure 6B, Table 2)",总反应,还原,CCl4,CHCl3,0.347,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,8,NA,NA,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, Cu(II) 0.5 mM, HEPES buffer 50 mM",
"CCl4 dechlorination by 3 mM Fe(II) with 0.5 mM Cu(II) at pH 8.5 (Figure 6B, Table 2)",总反应,还原,CCl4,CHCl3,0.856,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25 ± 1,°C,8.5,-500,mV,NA,NA,NA,20,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Fe(II) 3 mM, Cu(II) 0.5 mM, TRIS buffer 50 mM",
CT biodegradation in glycerol medium (Figure 3),总反应,还原,Carbon tetrachloride,NA,0.0042,h⁻¹,NA,NA,1,NA,NA,NA,NA,36,°C,NA,89,mV,NA,NA,NA,213,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Glycerol 0.25 g/L, initial ORP +89 mV","Effects of electron donor, dissolved oxygen, and oxidation-reduction potential biodegradation of carbon tetrachloride by Escherichia coli K-12"
CT biodegradation in glucose medium (Figure 3),总反应,还原,Carbon tetrachloride,NA,0.0088,h⁻¹,NA,NA,1,NA,NA,NA,NA,36,°C,NA,58,mV,NA,NA,NA,213,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Glucose 1.0 g/L, initial ORP +58 mV",
CT biodegradation in glucose medium with H₂O₂ (Figure 4),总反应,还原,Carbon tetrachloride,NA,0.0024,h⁻¹,NA,NA,1,NA,NA,NA,NA,36,°C,NA,248,mV,NA,NA,NA,278,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Glucose medium, H₂O₂ added, initial ORP +248 mV",
CT biodegradation in glucose medium with H₂O₂ (Figure 4),总反应,还原,Carbon tetrachloride,NA,0.0037,h⁻¹,NA,NA,1,NA,NA,NA,NA,36,°C,NA,157,mV,NA,NA,NA,278,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Glucose medium, H₂O₂ added, initial ORP +157 mV",
"CT biodegradation in glycerol medium, oxic condition (Figure 7)",总反应,还原,Carbon tetrachloride,NA,0.0031,h⁻¹,NA,NA,1,NA,NA,NA,NA,36,°C,NA,103,mV,NA,NA,NA,315,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Glycerol medium, oxic, initial ORP +103 mV",
CT biodegradation in glycerol medium with Ti(III) citrate (Figure 7),总反应,还原,Carbon tetrachloride,NA,0.0058,h⁻¹,NA,NA,1,NA,NA,NA,NA,36,°C,NA,-59,mV,NA,NA,NA,315,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Glycerol medium, Ti(III) citrate added, anoxic, initial ORP -59 mV",
CT biodegradation in glycerol medium with Ti(III) citrate (Figure 7),总反应,还原,Carbon tetrachloride,NA,0.0049,h⁻¹,NA,NA,1,NA,NA,NA,NA,36,°C,NA,-162,mV,NA,NA,NA,315,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Glycerol medium, Ti(III) citrate added, anoxic, initial ORP -162 mV",
CT degradation by Ni4/Fe@Fe3O4 at 10°C (Figure 4c),总反应,还原,CT,"CF, DCM",0.0916,min⁻¹,NA,NA,pseudo first-order,NA,NA,25.87,kJ/mol,10,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,Enhanced dechlorination of carbon tetrachloride by Ni-doped zero-valent iron nanoparticles @ magnetic Fe3O4 (Ni4/Fe@Fe3O4) nanocomposites
CT degradation by Ni4/Fe@Fe3O4 at 20°C (Figure 4c),总反应,还原,CT,"CF, DCM",0.1423,min⁻¹,NA,NA,pseudo first-order,NA,NA,25.87,kJ/mol,20,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT degradation by Ni4/Fe@Fe3O4 at 30°C (Figure 4c),总反应,还原,CT,"CF, DCM",0.1972,min⁻¹,NA,NA,pseudo first-order,NA,NA,25.87,kJ/mol,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT degradation by Ni4/Fe@Fe3O4 at 40°C (Figure 4c),总反应,还原,CT,"CF, DCM",0.2617,min⁻¹,NA,NA,pseudo first-order,NA,NA,25.87,kJ/mol,40,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 0.05 g/L dosage (Figure 5a),总反应,还原,CT,"CF, DCM",0.0283,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.05 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 0.10 g/L dosage (Figure 5a),总反应,还原,CT,"CF, DCM",0.0373,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.10 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 0.20 g/L dosage (Figure 5a),总反应,还原,CT,"CF, DCM",0.1972,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 0.30 g/L dosage (Figure 5a),总反应,还原,CT,"CF, DCM",0.2808,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.30 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 0.40 g/L dosage (Figure 5a),总反应,还原,CT,"CF, DCM",0.4076,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.40 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 6 mg/L CT (Figure 5b),总反应,还原,CT,"CF, DCM",0.2172,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,6,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 10 mg/L CT (Figure 5b),总反应,还原,CT,"CF, DCM",0.1972,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 14 mg/L CT (Figure 5b),总反应,还原,CT,"CF, DCM",0.1557,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,14,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 18 mg/L CT (Figure 5b),总反应,还原,CT,"CF, DCM",0.1257,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,18,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT degradation by Ni4/Fe@Fe3O4 with 22 mg/L CT (Figure 5b),总反应,还原,CT,"CF, DCM",0.1016,min⁻¹,NA,NA,pseudo first-order,NA,NA,NA,NA,30,°C,7,NA,NA,Ni4/Fe@Fe3O4,NA,NA,22,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,catalyst dosage = 0.20 g/L,
CT reduction by 200 mM FeS with 4 mM vitamin B12 (Figure 3),总反应,还原,CCl4,CHCl3 + CH2Cl2,1.91,h⁻¹,NA,NA,pseudofirst-order,NA,NA,NA,NA,room temperature,NA,8,NA,NA,amorphous iron(II) sulfide,NA,NA,5,mM,iron(II) sulfide,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"vitamin B12 concentration 4 mM, unbuffered","Carbon tetrachloride reduction by Fe2+, S2-, and FeS with vitamin B12 as organic amendment"
"CT transformation by EV-5L ADC+S (Fig. 1, Table 1)",总反应,还原,CCl4,CHCl3+CH2Cl2+CS2+CO2,0.59,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), cell protein (~0.75 mg)",Transformation of carbon tetrachloride and chloroform by trichloroethene respiring anaerobic mixed cultures and supernatant
"CT transformation by VS-5L ADC+S (Fig. 1, Table 1)",总反应,还原,CCl4,CHCl3+CH2Cl2+CS2+CO2,0.81,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), cell protein (~0.75 mg)",
"CT to CHCl3 by EV-5L (Table 2, Fig. 3a)",第1步,还原,CCl4,CHCl3,0.18,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,formate (2 mM),
"CHCl3 to CH2Cl2 by EV-5L (Table 2, Fig. 3a)",第2步,还原,CHCl3,CH2Cl2,0.009,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), biotic reaction",
"CT to CS2 by EV-5L (Table 2, Fig. 3a)",第1步,还原,CCl4,CS2,0.053,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,formate (2 mM),
"CT to CO2 by EV-5L (Table 2, Fig. 3a)",第1步,还原,CCl4,CO2,0.34,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), CO2 assumed as unknown product",
"CHCl3 to CO2 by EV-5L (Table 2, Fig. 3a)",第2步,还原,CHCl3,CO2,0.01,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), CO2 assumed",
"CS2 to CO2 by EV-5L (Table 2, Fig. 3a)",第2步,还原,CS2,CO2,0.049,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), CO2 assumed",
"CT to CHCl3 by VS-5L (Table 2, Fig. 3d)",第1步,还原,CCl4,CHCl3,0.31,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,formate (2 mM),
"CHCl3 to CH2Cl2 by VS-5L (Table 2, Fig. 3d)",第2步,还原,CHCl3,CH2Cl2,0.013,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), biotic reaction",
"CT to CS2 by VS-5L (Table 2, Fig. 3d)",第1步,还原,CCl4,CS2,0.094,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,formate (2 mM),
"CT to CO2 by VS-5L (Table 2, Fig. 3d)",第1步,还原,CCl4,CO2,0.39,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), CO2 assumed",
"CHCl3 to CO2 by VS-5L (Table 2, Fig. 3d)",第2步,还原,CHCl3,CO2,0.032,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), CO2 assumed",
"CS2 to CO2 by VS-5L (Table 2, Fig. 3d)",第2步,还原,CS2,CO2,0.017,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), CO2 assumed",
"CT transformation with NaN3 by EV-5L (Table 1, Fig. 3b)",总反应,还原,CCl4,CHCl3+CO2,0.4,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), NaN3 (50 mM), abiotic",
"CT transformation with NaN3 by VS-5L (Table 1, Fig. 3e)",总反应,还原,CCl4,CHCl3+CO2,1.05,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), NaN3 (50 mM), abiotic",
"CT+TCE transformation by EV-5L (Table 1, Fig. 3c)",总反应,还原,CCl4,CHCl3+CH2Cl2+CS2+CO2,1.05,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), TCE (50 mM)",
"CT+TCE transformation by VS-5L (Table 1, Fig. 3f)",总反应,还原,CCl4,CHCl3+CH2Cl2+CS2+CO2,1.73,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.6,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), TCE (50 mM)",
"CF transformation by EV-5L (Table 1, Fig. 4a)",总反应,还原,CHCl3,CH2Cl2+CO2,0.074,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.1,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,formate (2 mM),
"CF transformation by VS-5L (Table 1, Fig. 4b)",总反应,还原,CHCl3,CH2Cl2+CO2,0.072,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.1,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,formate (2 mM),
"CHCl3 to CH2Cl2 by EV-5L direct CF (Table 2, Fig. 4a)",第1步,还原,CHCl3,CH2Cl2,0.062,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.1,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,formate (2 mM),
"CHCl3 to CO2 by EV-5L direct CF (Table 2, Fig. 4a)",第1步,还原,CHCl3,CO2,0.106,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.1,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), CO2 assumed",
"CHCl3 to CH2Cl2 by VS-5L direct CF (Table 2, Fig. 4b)",第1步,还原,CHCl3,CH2Cl2,0.063,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.1,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,formate (2 mM),
"CHCl3 to CO2 by VS-5L direct CF (Table 2, Fig. 4b)",第1步,还原,CHCl3,CO2,0.044,d⁻¹,NA,NA,1,NA,NA,NA,NA,20,°C,NA,NA,NA,NA,NA,NA,2.1,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"formate (2 mM), CO2 assumed",
"CT degradation by CN32 (Fig. 4, Table 3)",总反应,还原,CT,"CF, CH4",1.43 (±0.27) × 10⁻²,d⁻¹,NA,NA,1,NA,NA,NA,NA,26 ± 0.5,°C,7,NA,NA,NA,NA,NA,0.1,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"PIPES buffer, 30 mM lactate",Enhanced reductive degradation of carbon tetrachloride by biogenic vivianite and Fe(II)
"CT degradation by magnetite (Fig. 4, Table 3)",总反应,还原,CT,"CF, CO, CHOO⁻",6.70 (±0.10) × 10⁻²,d⁻¹,6.09 (±0.09) × 10⁻⁴,Lm⁻²d⁻¹,1,NA,NA,NA,NA,26 ± 0.5,°C,7,NA,NA,magnetite,44.01,m²/g,0.1,mM,magnetite,Fe₁ᴵᴵFe₂ᴵᴵᴵO₄,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"PIPES buffer, 0.05 g/20 mL",
"CT degradation by magnetite + CN32 (Fig. 4, Table 3)",总反应,还原,CT,"CF, CO, CHOO⁻",1.32 (±0.11) × 10⁻¹,d⁻¹,1.20 (±0.10) × 10⁻³,Lm⁻²d⁻¹,1,NA,NA,NA,NA,26 ± 0.5,°C,7,NA,NA,magnetite,44.01,m²/g,0.1,mM,magnetite,Fe₁ᴵᴵFe₂ᴵᴵᴵO₄,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"PIPES buffer, 30 mM lactate, CN32",
"CT degradation by lepidocrocite + CN32 (Fig. 4, Table 3)",总反应,还原,CT,"CF, CO, CHOO⁻",4.34 (±0.59) × 10⁻²,d⁻¹,2.31 (±0.31) × 10⁻⁴,Lm⁻²d⁻¹,1,NA,NA,NA,NA,26 ± 0.5,°C,7,NA,NA,lepidocrocite,75.19,m²/g,0.1,mM,lepidocrocite,γ-FeᴵᴵᴵOOH,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"PIPES buffer, 30 mM lactate, CN32",
"CT degradation by vivianite (Fig. 8, Table 3)",总反应,还原,CT,"CO, CHOO⁻",3.62 (±0.07) × 10⁻¹,d⁻¹,4.87 (±0.06) × 10⁻²,Lm⁻²d⁻¹,1,NA,NA,NA,NA,26 ± 0.5,°C,7,NA,NA,vivianite,2.97,m²/g,0.1,mM,vivianite,Fe₃ᴵᴵ(PO₄)₂·8H₂O,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"PIPES buffer, 0.05 g/20 mL",
"L-IR microcosm, first CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",1.56 (±0.16) × 10⁻⁶,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, 50 mM hydrous ferric oxide, 20 mM acetate, sterilized by boiling",Influence of Soil Minerals on the Rates and Products of Abiotic Transformation of Carbon Tetrachloride in Anaerobic Soils and Sediments
"L-IR microcosm, second CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",1.08 (±0.16) × 10⁻⁶,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, sterilized by boiling",
"DP-IR microcosm, first CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",6.81 (±0.71) × 10⁻⁷,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, 50 mM hydrous ferric oxide, 20 mM acetate, sterilized by boiling",
"DP-IR microcosm, second CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",4.8 (±1.2) × 10⁻⁷,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, sterilized by boiling",
"DP-SR microcosm, first CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",1.163 (±0.078) × 10⁻⁶,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, 5 mM Na₂SO₄, 10 mM lactate, sterilized by boiling",
"DP-SR microcosm, second CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",5.5 (±1.5) × 10⁻⁷,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, sterilized by boiling",
"DP-SR-goe microcosm, first CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",6.0 (±1.1) × 10⁻⁸,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,goethite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, 5 mM Na₂SO₄, 10 mM lactate, 4 g/L goethite added, sterilized by boiling",
"DP-SR-goe microcosm, second CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",4.47 (±0.43) × 10⁻⁸,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,goethite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, 4 g/L goethite added, sterilized by boiling",
"Altus AFB-SR microcosm, first CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",2.23 (±0.44) × 10⁻⁷,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, 40 mM lactate, ~20 mM sulfate in groundwater, sterilized by boiling",
